id,content
1,"Este vino tinto tiene un sabor afrutado con notas de cereza y frambuesa."
2,"Un vino blanco seco con un aroma floral y un toque de manzana verde."
3,"Este vino rosado es ligero y refrescante, perfecto para el verano."
4,"Un vino espumoso con burbujas finas y un sabor a cítricos."
5,"Este vino tinto reserva ha sido envejecido en barricas de roble durante 12 meses."
6,"Un vino blanco dulce con un aroma a miel y frutas tropicales."
7,"Este vino rosado tiene un sabor a fresas y un final suave."
8,"Un vino espumoso rosado con un toque de frambuesa y una acidez equilibrada."
9,"Este vino tinto joven es fresco y fácil de beber, con notas de mora y ciruela."
10,"Un vino blanco con un sabor a pera y un final crujiente."
