Ciudad,Sucursal,Dirección,Horarios
Buenos Aires,Sucursal Palermo,"Av. Santa Fe 1234","Lunes a Sábado: 10:00 a 20:00, Domingo: Cerrado"
Buenos Aires,Sucursal Belgrano,"Av. Cabildo 4567","Lunes a Sábado: 10:00 a 20:00, Domingo: Cerrado"
Córdoba,Sucursal Centro,"Av. Colón 789","Lunes a Sábado: 09:00 a 19:00, Domingo: Cerrado"
Córdoba,Sucursal Nueva Córdoba,"Av. Vélez Sarsfield 2345","Lunes a Sábado: 09:00 a 19:00, Domingo: Cerrado"
Mendoza,Sucursal Ciudad,"Av. San Martín Sur 123","Lunes a Sábado: 09:00 a 19:00, Domingo: Cerrado"
Mendoza,Sucursal Godoy Cruz,"Av. Libertador Gral. San Martín 456","Lunes a Sábado: 09:00 a 19:00, Domingo: Cerrado"
Rosario,Sucursal Centro,"Calle San Luis 789","Lunes a Sábado: 10:00 a 20:00, Domingo: Cerrado"
Rosario,Sucursal Norte,"Av. Pellegrini 456","Lunes a Sábado: 10:00 a 20:00, Domingo: Cerrado"
La Plata,Sucursal La Plata,"Calle Principal 1234","Lunes a Sábado: 10:00 a 18:00, Domingo: Cerrado"
Mar del Plata,Sucursal Mar del Plata,"Calle Costanera 5678","Lunes a Sábado: 09:30 a 19:30, Domingo: Cerrado"
Tucumán,Sucursal Tucumán,"Calle Independencia 91011","Lunes a Sábado: 09:00 a 18:30, Domingo: Cerrado"
Salta,Sucursal Salta,"Calle Balcarce 1213","Lunes a Sábado: 09:30 a 19:30, Domingo: Cerrado"
Neuquén,Sucursal Neuquén,"Calle San Martín 1415","Lunes a Sábado: 10:00 a 18:30, Domingo: Cerrado"
